CaptureEventID,NumSpecies,Species,Count
ASG000bby4,1,leopard,1
ASG000bby5,1,wildebeest,3
ASG000bbye,1,wildebeest,1
ASG000bbz7,1,wildebeest,3
ASG000bbzv,1,wildebeest,1
ASG000bc1u,1,zebra,1
ASG000bc2e,1,zebra,1
ASG000bc2x,1,wildebeest,2
ASG000bc3o,1,wildebeest,1
ASG000bc4n,1,wildebeest,1
ASG000bc4s,1,wildebeest,4
ASG000bc50,2,wildebeest,2
ASG000bc50,2,zebra,1
ASG000bc5l,1,wildebeest,1
ASG000bc5n,1,wildebeest,1
ASG000bc5y,1,wildebeest,2
ASG000bc65,1,wildebeest,1
ASG000bc6m,1,wildebeest,1
ASG000bc7w,1,buffalo,1
ASG000bc7x,1,guineaFowl,11-50
ASG000bc8u,1,wildebeest,1
ASG000bc90,2,wildebeest,3
ASG000bc90,2,zebra,1
ASG000bc9c,1,elephant,1
ASG000bcac,1,wildebeest,1
ASG000bcb1,2,wildebeest,2
ASG000bcb1,2,zebra,1
ASG000bcd2,1,wildebeest,2
ASG000bcei,1,wildebeest,4
ASG000bcel,1,warthog,1
ASG000bcfu,1,wildebeest,1
ASG000bcgp,1,wildebeest,1
ASG000bcgr,1,wildebeest,1
ASG000bcgv,1,zebra,1
ASG000bchf,1,baboon,1
ASG000bchq,1,wildebeest,1
ASG000bci4,1,reedbuck,1
ASG000bciw,2,wildebeest,5
ASG000bciw,2,zebra,3
ASG000bcja,1,wildebeest,2
ASG000bck6,1,wildebeest,4
ASG000bcka,1,zebra,5
ASG000bcld,1,wildebeest,6
ASG000bcm3,1,zebra,2
ASG000bcmq,1,baboon,1
ASG000bcmw,1,zebra,4
ASG000bcmy,1,elephant,1
ASG000bcnc,1,zebra,4
ASG000bcnh,1,wildebeest,6
ASG000bcnn,2,wildebeest,1
ASG000bcnn,2,zebra,1
ASG000bcp9,1,zebra,1
ASG000bcpy,1,baboon,1
ASG000bctx,1,wildebeest,7
ASG000bcvg,2,wildebeest,5
ASG000bcvg,2,zebra,4
ASG000bcxa,1,wildebeest,10
ASG000bd2a,1,buffalo,4
ASG000bd35,1,hippopotamus,1
ASG000bd3h,1,hippopotamus,1
ASG000bd46,1,hippopotamus,1
ASG000bd4o,1,wildebeest,11-50
ASG000bd8q,1,wildebeest,11-50
ASG000bd93,1,gazelleGrants,1
ASG000bdbn,1,zebra,2
ASG000bdca,1,wildebeest,11-50
ASG000bdcp,1,zebra,2
ASG000bdeg,1,warthog,2
ASG000bdex,1,zebra,5
ASG000bdf2,1,zebra,2
ASG000bdfk,1,gazelleThomsons,11-50
ASG000bdfw,1,human,1
ASG000bdgu,1,zebra,1
ASG000bdik,1,wildebeest,1
ASG000bdin,1,wildebeest,2
ASG000bdjo,1,hyenaSpotted,1
ASG000bdl9,1,gazelleThomsons,8
ASG000bdm7,1,human,1
ASG000bdmc,2,wildebeest,1
ASG000bdmc,2,zebra,1
ASG000bdos,1,zebra,3
ASG000bdph,1,wildebeest,11-50
ASG000bdr5,1,warthog,1
ASG000bdrt,1,zebra,1
ASG000bdsm,1,wildebeest,3
ASG000bdsx,1,reedbuck,2
ASG000bdta,1,jackal,1
ASG000bduo,1,zebra,2
ASG000bdwh,1,giraffe,4
ASG000bdwi,1,gazelleGrants,1
ASG000bdwz,1,gazelleGrants,1
ASG000bdxs,1,wildebeest,2
ASG000bdy0,1,zebra,1
ASG000bdyh,1,buffalo,4
ASG000bdyk,1,buffalo,2
ASG000bdzu,1,buffalo,2
ASG000be04,1,buffalo,2
ASG000be0y,1,wildebeest,4
ASG000be1l,1,buffalo,1
ASG000be1s,1,wildebeest,2
ASG000be28,1,buffalo,2
ASG000be2x,1,wildebeest,1
ASG000be3y,1,buffalo,1
ASG000be4s,1,buffalo,11-50
ASG000be4t,1,buffalo,3
ASG000be5n,1,zebra,3
ASG000be6g,1,otherBird,1
ASG000be7b,1,wildebeest,3
ASG000be7c,1,wildebeest,2
ASG000be7n,1,wildebeest,5
ASG000be7q,1,secretaryBird,1
ASG000be8c,1,zebra,4
ASG000be8q,1,human,1
ASG000be8z,1,wildebeest,1
ASG000be9e,1,wildebeest,2
ASG000be9m,1,giraffe,1
ASG000be9w,1,wildebeest,1
ASG000bebs,1,zebra,1
ASG000bec4,1,zebra,1
ASG000becr,1,wildebeest,5
ASG000becw,1,impossible,
ASG000bedh,1,wildebeest,3
ASG000bees,1,otherBird,1
ASG000befw,2,warthog,1
ASG000befw,2,wildebeest,11-50
ASG000beh4,1,mongoose,2
ASG000beh9,1,guineaFowl,4
ASG000bek5,1,hyenaSpotted,1
ASG000belp,1,hyenaSpotted,1
ASG000bepl,1,guineaFowl,7
ASG000bes1,1,guineaFowl,1
ASG000besm,1,wildebeest,11-50
ASG000betc,1,wildebeest,11-50
ASG000beuc,1,wildebeest,11-50
ASG000beuf,1,wildebeest,11-50
ASG000bex1,1,guineaFowl,4
ASG000bezk,1,wildebeest,11-50
ASG000bf0k,1,wildebeest,11-50
ASG000bf0x,1,warthog,1
ASG000bf1k,1,giraffe,1
ASG000bf2a,1,wildebeest,11-50
ASG000bf5b,1,wildebeest,11-50
ASG000bf7n,1,wildebeest,5
ASG000bf8z,1,zebra,7
ASG000bf91,3,gazelleGrants,1
ASG000bf91,3,otherBird,1
ASG000bf91,3,warthog,1
ASG000bf99,1,zebra,1
ASG000bfa9,1,wildebeest,5
ASG000bfbe,1,zebra,3
ASG000bfcg,1,hartebeest,2
ASG000bfcm,1,wildebeest,1
ASG000bfdm,1,secretaryBird,1
ASG000bfe9,1,gazelleThomsons,1
ASG000bfea,1,wildebeest,6
ASG000bfec,1,guineaFowl,1
ASG000bfeu,1,wildebeest,7
ASG000bfex,1,wildebeest,6
ASG000bffh,1,topi,5
ASG000bfgi,1,wildebeest,3
ASG000bfgu,1,hartebeest,5
ASG000bfhv,1,warthog,1
ASG000bfid,1,wildebeest,3
ASG000bfj9,1,zebra,2
ASG000bfjr,1,wildebeest,2
ASG000bfkq,1,wildebeest,1
ASG000bflr,1,wildebeest,7
ASG000bfly,1,hartebeest,1
ASG000bfmb,1,giraffe,2
ASG000bfme,1,wildebeest,7
ASG000bfmk,1,giraffe,1
ASG000bfmr,1,wildebeest,5
ASG000bfnc,1,wildebeest,6
ASG000bfnm,1,wildebeest,4
ASG000bfoa,1,hartebeest,4
ASG000bfow,1,wildebeest,1
ASG000bfp1,1,wildebeest,11-50
ASG000bfp6,1,wildebeest,4
ASG000bfpb,1,wildebeest,5
ASG000bfpx,1,elephant,1
ASG000bfq1,1,wildebeest,3
ASG000bfq7,1,zebra,2
ASG000bfr3,2,wildebeest,8
ASG000bfr3,2,zebra,7
ASG000bfr4,1,zebra,8
ASG000bfr8,1,wildebeest,2
ASG000bfrh,1,wildebeest,5
ASG000bfrq,1,wildebeest,5
ASG000bfs6,1,zebra,1
ASG000bfsg,1,zebra,2
ASG000bft9,1,zebra,2
ASG000bftn,1,warthog,1
ASG000bfu7,1,wildebeest,2
ASG000bfug,1,zebra,3
ASG000bfui,1,hartebeest,1
ASG000bfzc,1,human,1
ASG000bfzu,1,buffalo,11-50
ASG000bg3m,1,giraffe,1
ASG000bg3o,1,zebra,5
ASG000bgdj,1,elephant,1
ASG000bgjl,1,buffalo,9
ASG000bglu,2,wildebeest,3
ASG000bglu,2,zebra,4
ASG000bglz,1,zebra,11-50
ASG000bgm3,1,wildebeest,1
ASG000bgn0,1,zebra,1
ASG000bgn1,1,zebra,5
ASG000bgnq,1,warthog,1
ASG000bgnx,1,wildebeest,1
ASG000bgoj,1,zebra,4
ASG000bgok,2,wildebeest,4
ASG000bgok,2,zebra,1
ASG000bgol,1,warthog,1
ASG000bgom,1,wildebeest,5
ASG000bgpx,2,wildebeest,1
ASG000bgpx,2,zebra,2
ASG000bgqa,1,wildebeest,4
ASG000bgqg,1,warthog,1
ASG000bgqu,1,wildebeest,11-50
ASG000bgr3,1,wildebeest,1
ASG000bgri,1,wildebeest,7
ASG000bgrz,1,wildebeest,10
ASG000bgsa,1,wildebeest,2
ASG000bgsb,2,wildebeest,1
ASG000bgsb,2,zebra,5
ASG000bgu0,1,zebra,1
ASG000bgu7,1,human,1
ASG000bgup,1,warthog,1
ASG000bgv1,2,wildebeest,2
ASG000bgv1,2,zebra,5
ASG000bgvu,1,zebra,1
ASG000bgw3,2,otherBird,1
ASG000bgw3,2,zebra,2
ASG000bgwa,1,zebra,3
ASG000bgwf,1,otherBird,1
ASG000bgxv,1,wildebeest,2
ASG000bgym,1,zebra,1
ASG000bgz3,1,zebra,2
ASG000bgzp,1,zebra,1
ASG000bgzs,1,zebra,3
ASG000bh15,1,wildebeest,1
ASG000bh1b,1,zebra,2
ASG000bh1o,1,hyenaSpotted,1
ASG000bh20,1,zebra,1
ASG000bh22,1,zebra,2
ASG000bh2n,2,wildebeest,3
ASG000bh2n,2,zebra,5
ASG000bh4n,1,zebra,2
ASG000bh5c,1,zebra,3
ASG000bh5m,1,wildebeest,2
ASG000bh67,1,wildebeest,1
ASG000bh7i,1,ostrich,1
ASG000bh7k,2,wildebeest,6
ASG000bh7k,2,zebra,1
ASG000bh88,1,zebra,11-50
ASG000bh8n,1,zebra,4
ASG000bh9b,1,zebra,4
ASG000bha7,1,zebra,2
ASG000bhgh,1,buffalo,5
ASG000bhgo,2,buffalo,7
ASG000bhgo,2,otherBird,3
ASG000bhpv,1,buffalo,2
ASG000bhsc,1,zebra,7
ASG000bht0,2,buffalo,4
ASG000bht0,2,otherBird,1
ASG000bhwp,1,buffalo,11-50
ASG000bhxy,1,buffalo,3
ASG000bi3a,1,zebra,1
ASG000bi6l,1,zebra,3
ASG000bi70,2,wildebeest,10
ASG000bi70,2,zebra,2
ASG000bi75,2,otherBird,2
ASG000bi75,2,wildebeest,11-50
ASG000bi7r,1,wildebeest,8
ASG000bi8c,1,wildebeest,3
ASG000bi92,2,otherBird,2
ASG000bi92,2,wildebeest,9
ASG000bi9e,1,wildebeest,1
ASG000bi9h,1,giraffe,2
ASG000bib2,1,hyenaSpotted,1
ASG000bib9,1,wildebeest,2
ASG000bibm,2,otherBird,3
ASG000bibm,2,wildebeest,7
ASG000bico,1,wildebeest,6
ASG000bicr,1,wildebeest,1
ASG000biff,1,wildebeest,1
ASG000bifi,1,wildebeest,3
ASG000bifm,2,otherBird,1
ASG000bifm,2,wildebeest,11-50
ASG000big4,1,wildebeest,6
ASG000bigs,2,otherBird,1
ASG000bigs,2,wildebeest,6
ASG000bih7,1,wildebeest,5
ASG000bihn,1,wildebeest,5
ASG000bihu,1,wildebeest,6
ASG000bii6,2,otherBird,1
ASG000bii6,2,wildebeest,3
ASG000biio,1,wildebeest,4
ASG000bij2,1,wildebeest,4
ASG000bijm,1,elephant,3
ASG000bikc,1,wildebeest,4
ASG000bikp,1,wildebeest,1
ASG000bikq,2,otherBird,1
ASG000bikq,2,wildebeest,3
ASG000bill,1,wildebeest,11-50
ASG000bilw,2,otherBird,4
ASG000bilw,2,wildebeest,5
ASG000bims,2,otherBird,1
ASG000bims,2,wildebeest,7
ASG000binj,1,wildebeest,11-50
ASG000bioc,1,elephant,1
ASG000bip6,1,warthog,1
ASG000bipc,1,buffalo,1
ASG000bipz,1,buffalo,1
ASG000biq2,1,buffalo,1
ASG000biq3,1,wildebeest,5
ASG000biq6,1,buffalo,1
ASG000biqj,1,buffalo,1
ASG000biqk,1,wildebeest,4
ASG000biqx,1,wildebeest,2
ASG000bir2,1,wildebeest,3
ASG000birx,1,wildebeest,7
ASG000biry,1,zebra,3
ASG000bit3,1,wildebeest,3
ASG000bit5,1,wildebeest,6
ASG000bit6,1,wildebeest,1
ASG000biu5,1,wildebeest,1
ASG000biub,1,wildebeest,11-50
ASG000biuc,1,wildebeest,11-50
ASG000bivt,1,wildebeest,1
ASG000biwm,1,wildebeest,11-50
ASG000bix5,1,wildebeest,3
ASG000bixo,1,wildebeest,7
ASG000bixw,1,wildebeest,1
ASG000biy5,1,wildebeest,2
ASG000biyb,1,wildebeest,1
ASG000biyx,2,wildebeest,7
ASG000biyx,2,zebra,1
ASG000biz5,1,wildebeest,1
ASG000bizn,1,wildebeest,3
ASG000bj02,1,wildebeest,11-50
ASG000bj0r,1,wildebeest,4
ASG000bj1l,1,hartebeest,2
ASG000bj2k,1,wildebeest,6
ASG000bj37,1,wildebeest,4
ASG000bj3j,1,wildebeest,4
ASG000bj3m,1,wildebeest,1
ASG000bj3u,1,wildebeest,3
ASG000bj45,1,hartebeest,1
ASG000bj4g,1,hartebeest,1
ASG000bj5i,1,wildebeest,4
ASG000bj5o,1,wildebeest,8
ASG000bj66,1,hartebeest,2
ASG000bj7e,1,wildebeest,6
ASG000bj82,1,wildebeest,10
ASG000bj8a,1,wildebeest,11-50
ASG000bj8i,1,wildebeest,11-50
ASG000bj8j,1,hartebeest,1
ASG000bj9b,2,wildebeest,1
ASG000bj9b,2,zebra,1
ASG000bj9c,1,wildebeest,11-50
ASG000bj9p,1,hartebeest,2
ASG000bja6,1,hartebeest,1
ASG000bjaf,1,wildebeest,1
ASG000bjb3,1,wildebeest,5
ASG000bjb5,1,hartebeest,1
ASG000bjbd,2,wildebeest,1
ASG000bjbd,2,zebra,2
ASG000bjbw,1,wildebeest,2
ASG000bjc5,1,wildebeest,7
ASG000bjcn,1,wildebeest,3
ASG000bjcp,1,hartebeest,2
ASG000bjda,1,wildebeest,4
ASG000bjdg,1,wildebeest,1
ASG000bjdx,1,zebra,9
ASG000bje8,1,wildebeest,4
ASG000bjev,1,hartebeest,2
ASG000bjez,1,human,1
ASG000bjf9,1,wildebeest,4
ASG000bjfb,1,wildebeest,4
ASG000bjfh,1,wildebeest,11-50
ASG000bjwa,1,wildebeest,5
ASG000bjy5,1,zebra,1
ASG000bjyt,1,elephant,1
ASG000bjz7,1,zebra,6
ASG000bk0g,1,zebra,1
ASG000bk2c,1,eland,8
ASG000bk3g,1,eland,1
ASG000bk3l,2,wildebeest,2
ASG000bk3l,2,zebra,4
ASG000bk4r,1,wildebeest,11-50
ASG000bk67,1,zebra,6
ASG000bk7j,1,wildebeest,1
ASG000bk7q,1,zebra,1
ASG000bk97,1,zebra,3
ASG000bkgn,2,buffalo,9
ASG000bkgn,2,otherBird,1
ASG000bkgw,2,buffalo,9
ASG000bkgw,2,otherBird,6
ASG000bkil,1,buffalo,10
ASG000bkj0,1,buffalo,1
ASG000bkjq,1,buffalo,3
ASG000bkk8,1,zebra,3
ASG000bklc,1,buffalo,1
ASG000bkll,2,buffalo,9
ASG000bkll,2,otherBird,2
ASG000bklq,1,impossible,
ASG000bkm8,2,buffalo,11-50
ASG000bkm8,2,otherBird,3
ASG000bkmb,2,buffalo,1
ASG000bkmb,2,otherBird,1
ASG000bkmd,1,buffalo,6
ASG000bkme,2,buffalo,2
ASG000bkme,2,otherBird,3
ASG000bkmz,1,hyenaSpotted,1
ASG000bkob,1,buffalo,7
ASG000bkpx,1,buffalo,2
ASG000bkqh,1,buffalo,6
ASG000bkr8,1,elephant,1
ASG000bkss,1,buffalo,2
ASG000bktg,2,buffalo,9
ASG000bktg,2,otherBird,6
ASG000bku7,1,buffalo,1
ASG000bkv0,1,buffalo,10
ASG000bkvg,2,buffalo,1
ASG000bkvg,2,otherBird,1
ASG000bkwe,1,buffalo,4
ASG000bkxt,1,buffalo,2
ASG000bkxz,2,buffalo,3
ASG000bkxz,2,otherBird,1
ASG000bkyg,1,buffalo,4
ASG000bkz9,1,buffalo,1
ASG000bkzs,2,buffalo,10
ASG000bkzs,2,otherBird,2
ASG000bkzt,1,buffalo,2
ASG000bkzv,1,buffalo,11-50
ASG000bl12,1,buffalo,1
ASG000bl1f,1,buffalo,1
ASG000bl1m,1,buffalo,7
ASG000bl2o,1,elephant,1
ASG000bl38,2,buffalo,7
ASG000bl38,2,otherBird,5
ASG000bl3n,1,elephant,3
ASG000bl43,1,buffalo,5
ASG000bl4e,1,buffalo,4
ASG000bl4m,1,buffalo,3
ASG000bl4v,2,buffalo,5
ASG000bl4v,2,otherBird,2
ASG000bl5c,1,elephant,1
ASG000bl5f,1,elephant,1
ASG000bl62,1,giraffe,1
ASG000bl6a,1,buffalo,11-50
ASG000bl6r,1,hyenaSpotted,1
ASG000blap,1,elephant,1
ASG000blct,1,zebra,10
ASG000blh8,1,elephant,2
ASG000bljv,1,elephant,2
ASG000blk8,1,zebra,6
ASG000blkd,1,giraffe,1
ASG000bllc,1,zebra,1
ASG000blo6,1,zebra,1
ASG000bloh,1,zebra,1
ASG000bloq,1,zebra,2
ASG000blp5,1,elephant,1
ASG000blpa,1,zebra,1
ASG000blpf,1,zebra,4
ASG000blqm,1,zebra,2
ASG000blqt,1,human,1
ASG000blr2,1,zebra,1
ASG000bls8,1,buffalo,1
ASG000blup,1,wildebeest,11-50
ASG000blux,1,wildebeest,6
ASG000blva,1,wildebeest,4
ASG000blvi,1,wildebeest,2
ASG000blvu,1,buffalo,1
ASG000blvv,1,wildebeest,11-50
ASG000bly2,1,wildebeest,11-50
ASG000blym,1,wildebeest,1
ASG000blz0,1,buffalo,1
ASG000blz3,1,wildebeest,4
ASG000blzk,1,wildebeest,2
ASG000blzt,2,wildebeest,2
ASG000blzt,2,zebra,2
ASG000blzv,1,impossible,
ASG000bm0f,1,wildebeest,5
ASG000bm0p,1,wildebeest,2
ASG000bm19,1,wildebeest,3
ASG000bm1e,1,zebra,7
ASG000bm1m,1,wildebeest,11-50
ASG000bm1t,1,wildebeest,9
ASG000bm1u,1,wildebeest,11-50
ASG000bm1w,1,giraffe,1
ASG000bm2r,1,zebra,3
ASG000bm3g,1,zebra,1
ASG000bm49,1,wildebeest,3
ASG000bm4b,1,elephant,2
ASG000bm4n,1,wildebeest,4
ASG000bm9a,1,wildebeest,11-50
ASG000bmaa,1,wildebeest,4
ASG000bmg1,2,wildebeest,2
ASG000bmg1,2,zebra,1
ASG000bmjb,1,wildebeest,7
ASG000bmv3,1,wildebeest,11-50
ASG000bn5j,1,warthog,1
ASG000bnfm,2,wildebeest,2
ASG000bnfm,2,zebra,5
ASG000bnha,1,wildebeest,11-50
ASG000bniv,1,gazelleGrants,1
ASG000bnke,1,wildebeest,2
ASG000bnln,1,impala,1
ASG000bnls,1,hartebeest,1
ASG000bnm9,1,hartebeest,1
ASG000bno7,1,wildebeest,11-50
ASG000bnoi,1,wildebeest,11-50
ASG000bnp5,1,wildebeest,3
ASG000bnp6,1,giraffe,1
ASG000bns1,1,giraffe,1
ASG000bnsc,1,buffalo,1
ASG000bnte,1,buffalo,1
ASG000bnuk,1,buffalo,1
ASG000bnuu,1,buffalo,1
ASG000bnv0,1,buffalo,1
ASG000bnwb,1,elephant,1
ASG000bnwx,1,zebra,3
ASG000bnxa,1,zebra,5
ASG000bnxo,1,zebra,1
ASG000bnxp,1,zebra,5
ASG000bo2j,1,impossible,
ASG000bo2z,1,zebra,2
ASG000bo3w,1,zebra,1
ASG000bo46,1,wildebeest,6
ASG000bo4c,1,wildebeest,1
ASG000bo4j,1,wildebeest,10
ASG000bo5s,1,zebra,4
ASG000bo63,1,wildebeest,1
ASG000bo6l,1,zebra,7
ASG000bo6u,1,wildebeest,5
ASG000bo7f,1,buffalo,3
ASG000bo7k,1,wildebeest,8
ASG000bo7l,1,impossible,
ASG000bo8m,1,wildebeest,7
ASG000bo9j,1,zebra,1
ASG000bo9k,1,wildebeest,5
ASG000boa0,1,wildebeest,1
ASG000boao,1,wildebeest,6
ASG000bobw,1,buffalo,5
ASG000bodb,1,zebra,3
ASG000bofe,2,buffalo,4
ASG000bofe,2,otherBird,8
ASG000bogm,2,buffalo,1
ASG000bogm,2,otherBird,5
ASG000boj7,2,buffalo,1
ASG000boj7,2,otherBird,5
ASG000bony,2,buffalo,3
ASG000bony,2,otherBird,5
ASG000bopo,2,buffalo,9
ASG000bopo,2,otherBird,8
ASG000boq6,2,buffalo,2
ASG000boq6,2,otherBird,11-50
ASG000borq,1,warthog,1
ASG000bovx,2,buffalo,2
ASG000bovx,2,otherBird,10
ASG000boxb,1,wildebeest,11-50
ASG000boxi,1,wildebeest,11-50
ASG000boxr,1,wildebeest,11-50
ASG000bp04,2,wildebeest,4
ASG000bp04,2,zebra,4
ASG000bp19,1,wildebeest,5
ASG000bp24,1,wildebeest,11-50
ASG000bp3w,1,wildebeest,9
ASG000bp43,1,wildebeest,11-50
ASG000bp48,1,wildebeest,11-50
ASG000bp5k,1,zebra,2
ASG000bp8c,1,baboon,2
ASG000bp8p,1,warthog,1
ASG000bp8u,1,baboon,1
ASG000bp8v,1,elephant,2
ASG000bp8y,1,impala,1
ASG000bp9g,1,elephant,1
ASG000bpa8,1,buffalo,1
ASG000bpad,1,buffalo,1
ASG000bpaq,1,buffalo,1
ASG000bpbo,1,hyenaSpotted,1
ASG000bpca,1,porcupine,1
ASG000bpcb,1,rodent,3
ASG000bpcv,1,buffalo,2
ASG000bpd4,1,warthog,1
ASG000bpe8,1,buffalo,2
ASG000bptu,1,zebra,4
ASG000bpyo,1,zebra,5
ASG000bqvw,1,zebra,2
ASG000bqwh,1,wildebeest,3
ASG000bqxt,1,zebra,2
ASG000bqy9,1,wildebeest,1
ASG000bqyf,2,wildebeest,2
ASG000bqyf,2,zebra,1
ASG000bqyn,1,wildebeest,2
ASG000bqzc,1,baboon,2
ASG000bqzm,1,wildebeest,2
ASG000br0u,1,impala,11-50
ASG000br0y,1,wildebeest,1
ASG000br16,1,wildebeest,8
ASG000bsc5,1,wildebeest,6
ASG000bti6,1,ostrich,1
ASG000btig,1,gazelleThomsons,1
ASG000btik,1,impala,1
ASG000btj4,1,human,1
ASG000btk0,1,lionFemale,1
ASG000btmi,1,wildebeest,11-50
ASG000btn1,1,otherBird,1
ASG000btn5,1,wildebeest,5
ASG000btun,1,wildebeest,5
ASG000btyq,1,wildebeest,1
ASG000bu0z,1,wildebeest,7
ASG000bu91,1,wildebeest,4
ASG000buhj,1,wildebeest,8
ASG000buru,1,wildebeest,2
ASG000buzj,1,hartebeest,1
